Study_ID,Author_year,Paper_title,Publication_year,Country_FirstAuthor,Checked,Comment
P_0001,Bangma_2017,Variation in perfluoroalkyl acids in the American alligator (Alligator mississippiensis) at Merritt Island National Wildlife Refuge,2017,USA,CV,
P_0061,Aas_2014,Effect of body condition on tissue distribution of perfluoroalkyl substances (PFASs) in Arctic fox (Vulpes lagopus),2014,Norway,CV,
P_0041,Abalos_2019,Levels of regulated POPs in fish samples from the Sava River Basin. Comparison to legislated quality standard values,2019,Spain,CV,
P_0459,Abdel-Moneim_2017,Gonadal intersex in smallmouth bass Micropterus dolomieu from northern Indiana with correlations to molecular biomarkers and anthropogenic chemicals,2017,USA,CV,
P_0062,Adams_2008,Land use and the spatial distribution of perfluoroalkyl compounds as measured in the plasma of bottlenose dolphins (Tursiops truncatus),2008,USA,CV,
P_0065,Ahrens_2009,Total body burden and tissue distribution of polyfluorinated compounds in harbor seals (Phoca vitulina) from the German Bight,2009,Germany,CV,
P_0655,Ahrens_2009,"Temporal trends of polyfluoroalkyl compounds in harbor seals (Phoca vitulina) from the German Bight, 1999-2008",2009,Germany,LR,
P_0063,Ahrens_2010,Spatial distribution of polyfluoroalkyl compounds in dab (Limanda limanda) bile fluids from Iceland and the North Sea,2010,Germany,CV,
P_0066,Ahrens_2010,Distribution of perfluoroalkyl compounds and mercury in fish liver from high-mountain lakes in France originating from atmospheric deposition,2010,Germany,CV,
P_0509,Ahrens_2011,"Temporal trends and pattern of polyfluoroalkyl compounds in tawny owl (Strix aluco) eggs from Norway, 1986-2009",2011,Germany,CV,
P_0064,Ahrens_2015,"Stockholm Arlanda Airport as a source of per- and polyfluoroalkyl substances to water, sediment and fish",2015,Sweden,CV,
P_0461,Ahrens_2016,"Poly- and perfluoroalkylated substances (PFASs) in water, sediment and fish muscle tissue from Lake Tana, Ethiopia and implications for human exposure",2016,Sweden,CV,
P_0060,Akerblom_2017,Variation and accumulation patterns of poly- and perfluoroalkyl substances (PFAS) in European perch (Perca fluviatilis) across a gradient of pristine Swedish ,2017,Sweden,CV,
P_0623,Alfaro Garcia_2018,PFAS bioaccumulation in Antarctic breeding south polar skua (Catharacta maccormicki) and its prey items.,2018,Norway,CV,
P_0357,Ali_2021,The fate of poly- And perfluoroalkyl substances in a marine food web influenced by land-based sources in the Norwegian Arctic,2021,Norway,CV,
P_0369,Ali_2021,Legacy and emerging per- and polyfluorinated alkyl substances (PFASs) in sediment and edible fish from the Eastern Red Sea,2021,Norway,LR,
P_0463,Alves_2016,Blue sharks (Prionace glauca) as bioindicators of pollution and health in the Atlantic Ocean: Contamination levels and biochemical stress responses,2016,Portugal,CV,
P_0550,Androulakakis_2022,Determination of 56 per- and polyfluoroalkyl substances in top predators and their prey from Northern Europe by LC-MS/MS,2022,Greece,LR,
P_0390,Arinaitwe_2020,"Spatial profiles of perfluoroalkyl substances and mercury in fish from northern Lake Victoria, East Africa",2020,Germany,CV,
P_0567,Arioli_2019,"Presence of organic halogenated compounds, organophosphorus insecticides and polycyclic aromatic hydrocarbons in meat of different game animal species from an Italian subalpine area",2019,Italy,CV,
P_0365,Aristizabal-Henao_2021,Ticks as novel sentinels to monitor environmental levels of per- and polyfluoroalkyl substances (PFAS),2021,USA,LR,
P_0361,Aro_2021,Fluorine mass balance analysis of selected environmental samples from Norway,2021,Sweden,LR,
P_0501,Asher_2012,Enantiospecific perfluorooctane sulfonate (PFOS) analysis reveals evidence for the source contribution of PFOS-precursors to the Lake Ontario foodweb,2012,Canada,LR,
P_0067,Awad_2001,Long-Term Environmental Fate of Perfluorinated Compounds after Accidental Release at Toronto Airport,2001,Canada,CV,
P_0508,Awad_2011,Long-term environmental fate of perfluorinated compounds after accidental release at Toronto airport,2011,Canada,CV,
P_0068,Babut_2017,"Per- and poly-fluoroalkyl compounds in freshwater fish from the RhÃ´ne River: Influence of fish size, diet, prey contamination and biotransformation",2017,France,CV,
P_0620,Badry_2022,Ecological and spatial variations of legacy and emerging contaminants in white-tailed sea eagles from Germany: Implications for prioritisation and future risk management,2022,Germany,CV,
P_0069,Baduel_2014,Size and age-concentration relationships for perfluoroalkyl substances in stingray livers from eastern Australia,2014,Australia,CV,
P_0070,Bangma_2017,Perfluorinated alkyl acids in plasma of American alligators (Alligator mississippiensis) from Florida and South Carolina,2017,USA,CV,
P_0451,Bangma_2017,"Tissue distribution of perfluoroalkyl acids and health status in wild Mozambique tilapia (Oreochromis mossambicus) from Loskop Dam, Mpumalanga, South Africa",2017,USA,LR,
P_0440,Bangma_2018,Perfluorinated alkyl acids and fecundity assessment in striped mullet (Mugil cephalus) at Merritt Island national wildlife refuge,2018,USA,LR,
P_0071,Bangma_2019,Perfluoroalkyl substances in diamondback terrapins (Malaclemys terrapin) in coastal South Carolina,2019,USA,CV,
P_0606,Barbarossa_2016,Comparison of perfluoroalkyl substances contamination in farmed and wild-caught European sea bass (Dicentrarchus labrax),2016,Italy,LR,
P_0072,Barghi_2018,Accumulation and exposure assessment of persistent chlorinated and fluorinated contaminants in Korean birds,2018,South Korea,CV,
P_0614,Barhoumi_2022,Survey of legacy and emerging per- and polyfluorinated alkyl substances in Mediterranean seafood from a North African ecosystem,2022,Monaco,CV,
P_0073,Barrett_2021,Suspect and Nontarget Screening Revealed Class-Specific Temporal Trends (2000-2017) of Poly- A nd Perfluoroalkyl Substances in St. Lawrence Beluga Whales,2021,Canada,CV,
P_0595,Beale_2022,Bioaccumulation and metabolic response of PFAS mixtures in wild-caught freshwater turtles (Emydura macquarii macquarii) using omics-based ecosurveillance techniques,2021,Australia,LR,
P_0074,Becker_2010,"Perfluorooctanoic acid and perfluorooctane sulfonate in two fish species collected from the roter main river, Bayreuth, Germany",2010,Germany,CV,
P_0076,Bentzen_2008,Organohalogen concentrations in blood and adipose tissue of Southern Beaufort Sea polar bears,2008,USA,CV,
P_0524,Berger_2009,Fish consumption as a source of human exposure to perfluorinated alkyl substances in Sweden - Analysis of edible fish from Lake VÃ¤ttern and the Baltic Sea,2009,Sweden,CV,
P_0627,Bergman _2017,"Trophic transfer of per- and polyfluoroalkyl substances (PFASs) by glacial relicts in Lake VÃttern, Sweden",2017,Sweden,CV,
P_0077,Bertin_2014,Bioaccumulation of perfluoroalkyl compounds in midge (Chironomus riparius) larvae exposed to sediment,2014,France,CV,Excluded
P_0078,Bertolero_2015,Accumulation and maternal transfer of perfluorooctane sulphonic acid in yellow-legged (Larus michahellis) and Audouin's gull (Larus audouinii) from the Ebro Delta Natural Park,2015,Spain,CV,
P_0491,Bhavsar_2014,Cooking fish is not effective in reducing exposure to perfluoroalkyl and polyfluoroalkyl substances,2014,Canada,LR,
P_0044,Bhavsar_2016,"High levels, partitioning and fish consumption based water guidelines of perfluoroalkyl acids downstream of a former firefighting training facility in Canada",2016,Canada,CV,Excluded
P_0604,Birgersson_2021,Thyroid function and immune status in perch (Perca fluviatilis) from lakes contaminated with PFASs or PCBs,2021,Sweden,LR,
