Study_ID,Country_Region_Sample_Collection,Comments,Checked
P_0418,Alaska,,CV
P_0468,Alaska,,CV
P_0661,Alaska,,CV
P_0228,Antarctica,no fish,CV
P_0075,Antarctica,,CV
P_0283,Antarctica,,CV
P_0276,Antarctica,,CV
P_0280,Antarctica,,CV
P_0405,Antarctica,,CV
P_0453,Antarctica,,CV
P_0613,Antarctica,,CV
P_0623,Antarctica,,CV
P_0366,Antarctica,,LR
P_0228,Argentina,fish,CV
P_0341,Atlantic Ocean,fish,CV
P_0463,Atlantic Ocean,,CV
P_0069,Australia,,CV
P_0056,Australia,,CV
P_0054,Australia,,CV
P_0312,Australia,,CV
P_0313,Australia,,CV
P_0309,Australia,,CV
P_0311,Australia,,CV
P_0305,Australia,,CV
P_0254,Australia,Excluded,CV
P_0308,Australia,,CV
P_0310,Australia,,CV
P_0394,Australia,,CV
P_0416,Australia,,CV
P_0364,Australia,,LR
P_0381,Australia,,LR
P_0387,Australia,,LR
P_0425,Australia,,LR
P_0434,Australia,,LR
P_0595,Australia,,LR
P_0608,Australia,,LR
P_0271,Austria,,CV
P_0165,Baltic Sea,,CV
P_0190,Baltic Sea,,CV
P_0190,Baltic Sea,,CV
P_0284,Baltic Sea,,CV
P_0286,Baltic Sea,,CV
P_0194,Baltic Sea,,CV
P_0058,Baltic Sea,fish,CV
P_0127,Baltic Sea,fish,CV
P_0146,Baltic Sea,,CV
P_0183,Baltic Sea,,CV
P_0026,Baltic Sea,,CV
P_0579,Baltic Sea,,CV
P_0661,Baltic Sea,,CV
P_0549,Baltic Sea,,LR
P_0592,Baltic Sea,,LR
P_0598,Baltic Sea,,LR
P_0448,Bangladesh,,LR
P_0170,Barents Sea,,CV
P_0173,Belgium,,CV
P_0174,Belgium,,CV
P_0029,Belgium,,CV
P_0158,Belgium,,CV
P_0159,Belgium,,CV
P_0016,Belgium,,CV
P_0042,Belgium,,CV
P_0218,Belgium,,CV
P_0231,Belgium,,CV
P_0232,Belgium,,CV
P_0157,Belgium,,CV
P_0317,Belgium,,CV
P_0318,Belgium,,CV
P_0520,Belgium,,CV
P_0556,Belgium,,CV
P_0499,Belgium,,LR
P_0658,Belgium,,LR
P_0660,Belgium,,LR
P_0180,Bermuda,,CV
P_0319,Black Sea,,CV
P_0059,Bonaire,,CV
P_0122,Brazil,,CV
P_0027,Brazil,,CV
P_0024,Brazil,,CV
P_0013,Brazil,,CV
P_0557,Brazil,Excluded,CV
P_0657,Brazil,,LR
P_0118,Canada,,CV
P_0136,Canada,,CV
P_0137,Canada,,CV
P_0142,Canada,,CV
P_0349,Canada,,CV
P_0067,Canada,,CV
P_0106,Canada,,CV
P_0351,Canada,,CV
P_0150,Canada,,CV
P_0163,Canada,,CV
P_0178,Canada,,CV
P_0179,Canada,,CV
P_0320,Canada,,CV
P_0057,Canada,Fish and other,CV
P_0266,Canada,,CV
P_0353,Canada,,CV
P_0314,Canada,,CV
P_0222,Canada,,CV
P_0272,Canada,,CV
P_0090,Canada,,CV
P_0091,Canada,,CV
P_0092,Canada,,CV
P_0093,Canada,,CV
P_0098,Canada,,CV
P_0123,Canada,,CV
P_0147,Canada,,CV
P_0148,Canada,,CV
P_0149,Canada,,CV
P_0055,Canada,,CV
P_0224,Canada,,CV
P_0235,Canada,,CV
P_0242,Canada,,CV
P_0073,Canada,,CV
P_0009,Canada,,CV
P_0223,Canada,,CV
P_0243,Canada,,CV
P_0047,Canada,,CV
P_0043,Canada,,CV
P_0044,Canada,Excluded,CV
P_0039,Canada,,CV
P_0236,Canada,,CV
P_0388,Canada,,CV
P_0418,Canada,,CV
P_0457,Canada,,CV
P_0506,Canada,,CV
P_0508,Canada,,CV
P_0513,Canada,,CV
P_0515,Canada,,CV
P_0526,Canada,,CV
P_0530,Canada,,CV
P_0573,Canada,,CV
P_0584,Canada,,CV
P_0619,Canada,,CV
P_0622,Canada,,CV
P_0629,Canada,,CV
P_0631,Canada,,CV
P_0661,Canada,,CV
P_0436,Canada,,LR
P_0490,Canada,,LR
P_0491,Canada,,LR
P_0497,Canada,Excluded,
P_0501,Canada,,LR
P_0533,Canada,,LR
P_0536,Canada,,LR
P_0542,Canada,,LR
P_0545,Canada,,LR
P_0546,Canada,,LR
P_0547,Canada,,LR
P_0549,Canada,,LR
P_0594,Canada,,LR
P_0638,Canada,,LR
P_0650,Canada,,LR
P_0431,Chafarinas Islands,,LR
P_0612,Chagos archipelago,,CV
P_0143,China,,CV
P_0144,China,Excluded,CV
P_0354,China,,CV
P_0352,China,,CV
P_0257,China,,CV
P_0258,China,,CV
P_0259,China,,CV
P_0261,China,,CV
P_0292,China,,CV
P_0297,China,,CV
P_0326,China,,CV
P_0343,China,,CV
P_0346,China,Excluded,CV
P_0103,China,,CV
P_0182,China,Excluded,CV
P_0229,China,,CV
P_0336,China,,CV
P_0344,China,,CV
P_0355,China,,CV
P_0128,China,,CV
P_0166,China,,CV
P_0227,China,,CV
P_0335,China,,CV
P_0347,China,,CV
P_0161,China,,CV
P_0033,China,,CV
P_0104,China,Excluded,CV
P_0328,China,,CV
P_0011,China,,CV
P_0392,China,,CV
P_0403,China,,CV
P_0407,China,,CV
P_0411,China,,CV
P_0452,China,,CV
P_0456,China,,CV
P_0474,China,,CV
P_0475,China,,CV
P_0510,China,,CV
P_0518,China,,CV
P_0519,China,,CV
P_0525,China,,CV
P_0558,China,Excluded,CV
P_0561,China,,CV
P_0566,China,,CV
P_0568,China,,CV
P_0617,China,,CV
P_0630,China,,CV
P_0665,China,,CV
P_0666,China,,CV
P_0667,China,,CV
P_0363,China,Excluded,LR
P_0379,China,,LR
P_0383,China,,LR
P_0385,China,,LR
P_0427,China,,LR
P_0435,China,,LR
P_0438,China,,LR
P_0441,China,,LR
P_0442,China,,LR
P_0447,China,Excluded,Excluded
P_0484,China,,LR
P_0538,China,,LR
P_0587,China,,LR
P_0588,China,,LR
P_0600,China,,LR
P_0255,Colombia,,CV
P_0041,Croatia,,CV
P_0453,Crozet Archipelago,,CV
P_0101,Czech Republic,,CV
P_0102,Czech Republic,,CV
P_0206,Czech Republic,,CV
P_0172,Czech Republic,,CV
P_0181,Czech Republic,,CV
P_0304,Czech Republic,,CV
P_0574,Czech Republic,,CV
P_0639,Czech Republic,,LR
P_0085,Denmark,,CV
P_0505,Denmark,,LR
P_0659,Denmark,,LR
P_0316,Dutch Wadden Sea,,CV
P_0169,East China Sea,,CV
P_0034,East China Sea,,CV
P_0198,Estonia,Excluded,Excluded
P_0165,Estonia,,CV
P_0461,Ethiopia,,CV
P_0599,Ethiopia,,LR
P_0276,Falkland Islands,UK administration,CV
P_0084,Faroe Islands,,CV
P_0083,Faroe Islands,,CV
P_0350,Faroe Islands,,CV
P_0272,Faroe Islands,NOT fish,CV
P_0212,Faroe Islands,,CV
P_0277,Faroe Islands,,CV
P_0455,Faroe Islands,,CV
P_0570,Faroe Islands,,CV
P_0204,Finland,,CV
P_0190,Finland,,CV
P_0569,Finland,,CV
P_0598,Finland,,LR
P_0066,France,,CV
P_0068,France,,CV
P_0113,France,,CV
P_0114,France,,CV
P_0213,France,,CV
P_0240,France,,CV
P_0246,France,Excluded,Excluded
P_0315,France,,CV
P_0293,France,,CV
P_0294,France,,CV
P_0317,France,,CV
P_0244,France,,CV
P_0414,France,,CV
P_0376,France,,LR
P_0479,France,,LR
P_0498,France,,LR
P_0646,France,,LR
P_0521,Franz Josef Land,,CV
P_0656,Greenland,,LR
P_0129,Germany,,CV
P_0132,Germany,,CV
P_0074,Germany,,CV
P_0267,Germany,,CV
P_0285,Germany,,CV
P_0331,Germany,,CV
P_0138,Germany,,CV
P_0268,Germany,,CV
P_0131,Germany,,CV
P_0333,Germany,,CV
P_0133,Germany,,CV
P_0065,Germany,,CV
P_0281,Germany,,CV
P_0287,Germany,,CV
P_0046,Germany,,CV
P_0271,Germany,,CV
P_0565,Germany,,CV
P_0620,Germany,,CV
P_0422,Germany,,LR
P_0428,Germany,,LR
P_0500,Germany,,LR
P_0550,Germany,,LR
P_0552,Germany,,LR
P_0586,Germany,,LR
P_0640,Germany,,LR
P_0645,Germany,,LR
P_0651,Germany,,LR
P_0655,Germany,,LR
P_0659,Germany,,LR
P_0276,Gough Island,UK administration,CV
P_0125,Canary Islands,,CV
P_0125,Greece,,CV
P_0473,Greece,,CV
P_0004,Greenland,,CV
P_0111,Greenland,,CV
P_0084,Greenland,,CV
P_0083,Greenland,,CV
P_0272,Greenland,NOT fish,CV
P_0235,Greenland,,CV
P_0260,Greenland,,CV
P_0081,Greenland,,CV
P_0082,Greenland,,CV
P_0120,Greenland,,CV
P_0153,Greenland,,CV
P_0154,Greenland,,CV
P_0155,Greenland,,CV
P_0156,Greenland,,CV
P_0273,Greenland,,CV
P_0277,Greenland,,CV
P_0035,Greenland,,CV
P_0299,Greenland,,CV
P_0300,Greenland,,CV
P_0302,Greenland,,CV
P_0324,Greenland,,CV
