Study_ID,PFAS_name,PFAS_name_Comment,Checked
P_0033,6:2 Cl-PFESA,,CV
P_0410,6:2 Cl-PFESA,,CV
P_0452,6:2 Cl-PFESA,,CV
P_0456,6:2 Cl-PFESA,,CV
P_0614,6:2 Cl-PFESA,,CV
P_0625,6:2 Cl-PFESA,,CV
P_0662,6:2 Cl-PFESA,,CV
P_0361,6:2 Cl-PFESA,,LR
P_0369,6:2 Cl-PFESA,,LR
P_0427,6:2 Cl-PFESA,,LR
P_0441,6:2 Cl-PFESA,,LR
P_0601,6:2 Cl-PFESA,,LR
P_0640,6:2 FTS,Same as 6:2 FtS,LR
P_0060,6:2 FTS,,CV
P_0056,6:2 FTS,,CV
P_0345,6:2 FTS,,CV
P_0170,6:2 FTS,,CV
P_0216,6:2 FTS,,CV
P_0222,6:2 FTS,,CV
P_0293,6:2 FTS,,CV
P_0294,6:2 FTS,,CV
P_0309,6:2 FTS,,CV
P_0124,6:2 FTS,,CV
P_0171,6:2 FTS,,CV
P_0184,6:2 FTS,,CV
P_0200,6:2 FTS,,CV
P_0234,6:2 FTS,,CV
P_0334,6:2 FTS,,CV
P_0050,6:2 FTS,,CV
P_0065,6:2 FTS,,CV
P_0274,6:2 FTS,,CV
P_0031,6:2 FTS,,CV
P_0278,6:2 FTS,,CV
P_0288,6:2 FTS,,CV
P_0300,6:2 FTS,,CV
P_0305,6:2 FTS,,CV
P_0032,6:2 FTS,,CV
P_0039,6:2 FTS,,CV
P_0014,6:2 FTS,,CV
P_0357,6:2 FTS,,CV
P_0202,6:2 FTS,,CV
P_0203,6:2 FTS,,CV
P_0244,6:2 FTS,,CV
P_0254,6:2 FTS,Excluded,CV
P_0308,6:2 FTS,,CV
P_0310,6:2 FTS,,CV
P_0405,6:2 FTS,,CV
P_0410,6:2 FTS,,CV
P_0415,6:2 FTS,,CV
P_0416,6:2 FTS,,CV
P_0417,6:2 FTS,,CV
P_0453,6:2 FTS,,CV
P_0456,6:2 FTS,,CV
P_0461,6:2 FTS,,CV
P_0511,6:2 FTS,,CV
P_0513,6:2 FTS,,CV
P_0569,6:2 FTS,,CV
P_0570,6:2 FTS,,CV
P_0579,6:2 FTS,,CV
P_0583,6:2 FTS,,CV
P_0614,6:2 FTS,,CV
P_0618,6:2 FTS,,CV
P_0623,6:2 FTS,,CV
P_0625,6:2 FTS,,CV
P_0626,6:2 FTS,,CV
P_0627,6:2 FTS,,CV
P_0662,6:2 FTS,,CV
P_0666,6:2 FTS,,CV
P_0361,6:2 FTS,,LR
P_0365,6:2 FTS,,LR
P_0370,6:2 FTS,,LR
P_0381,6:2 FTS,,LR
P_0434,6:2 FTS,,LR
P_0532,6:2 FTS,,LR
P_0550,6:2 FTS,,LR
P_0553,6:2 FTS,,LR
P_0555,6:2 FTS,,LR
P_0594,6:2 FTS,,LR
P_0595,6:2 FTS,,LR
P_0596,6:2 FTS,,LR
P_0601,6:2 FTS,,LR
P_0639,6:2 FTS,,LR
P_0054,6:2 FTS,,CV
P_0369,6:2 FTS,,LR
P_0002,6:2 FTS,,CV
P_0022,6:2 FTS,,CV
P_0064,6:2 FTS,,CV
P_0068,6:2 FTS,,CV
P_0190,6:2 FTS,,CV
P_0286,6:2 FTS,,CV
P_0030,6:2 FTS,,CV
P_0383,6:2 FTS,,LR
P_0427,6:2 FTS,,LR
P_0138,6:2 FTS,,CV
P_0358,6:2 FTS,,LR
P_0004,8:2 Cl-PFESA,,CV
P_0352,8:2 Cl-PFESA,,CV
P_0220,8:2 Cl-PFESA,,CV
P_0372,8:2 Cl-PFESA,,LR
P_0383,8:2 Cl-PFESA,,LR
P_0550,8:2 Cl-PFESA,,LR
P_0297,8:2 Cl-PFESA,,CV
P_0033,8:2 Cl-PFESA,,CV
P_0034,8:2 Cl-PFESA,,CV
P_0452,8:2 Cl-PFESA,,CV
