Study_ID,PFAS_focus,PFAS_focus_comments,PFAS_one_many,Year_sampling_start,Year_sampling_end,Year_sampling_comments,Species_one_many,Species_comment,Habitat,Habitat_comments,Sex,Sex_Comments,Developmental_stage,Developmental_stage_comments,Functional_aspects,Functional_aspects_comments,Biogeographical_region,Biogeographical_region_comments,Tissue_one_many,Tissue_one_many_comments,Study_comment,Checked,
P_0498,No,,Multiple,1981,2011,,Multiple,,Estuarine,,Unknown,,Juvenile/adult,,Yes,Spatial and temporal trends,Mixed,,One,,,LR,
P_0126,Yes,,Multiple,2003,2005,,One,,Estuarine,,Mixed,,Juvenile/adult,,Yes,"Bioaccumulation, investigate relationship between age + sex and PFAS",Subtropical,,One,,,CV,
P_0649,Yes,,Multiple,2003,2005,,One,,Estuarine,,Mixed,,Juvenile/adult,,Yes,ASSOCIATIONS BETWEEN PERFLUOROALKYL COMPOUNDS AND IMMUNE AND CLINICAL CHEMISTRY PARAMETERS,Subtropical,,One,,,LR,
P_0062,Yes,,Multiple,2003,2005,,One,,Estuarine,,Unknown,,Juvenile/adult,,Yes,Spatial distribution of PFAS,Subtropical,,One,,,CV,
P_0161,Yes,,Multiple,2004,2016,,One,,Estuarine,,Mixed,,Juvenile/adult,,Yes,"Bioaccumulation behaviour of PFAS investigated, Carbon chain length related tissue distribution of PFAS investigated",Tropical,,Multiple,,,CV,
P_0313,Yes,,Multiple,2007,2009,Fish: 2007,Multiple,Fish: one,Estuarine,,Unknown,,Mixed,Fish: Juvenile/adult,No,,Subtropical,,Multiple,,,CV,
P_0073,Yes,,Multiple,2007,2017,,One,,Estuarine,,Mixed,,Juvenile/adult,,Yes,Placental and lactational transfer of PFASs,Temperate,,One,,,CV,
P_0001,Yes,,Multiple,2008,2009,,One,,Estuarine,,Mixed,,Juvenile/adult,,Yes,,Subtropical,,One,,,CV,
P_0326,Yes,,Multiple,2008,2008,,Multiple,Fish: one,Estuarine,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0071,Yes,,Multiple,2011,2012,,One,,Estuarine,,Mixed,,Juvenile/adult,,Yes,"Sex specific site differences in PFAS concentration, Negative correlations between PFAS and body mass",Subtropical,,One,,,CV,
P_0646,Yes,,Multiple,2012,2012,,Multiple,,Estuarine,,Unknown,,Juvenile/adult,,Yes,Trophic Transfer of PFAS,Temperate,,Multiple,"(CV) Doesn't say, but since they examined very different types of species it's most likely that they used different types of tissues. (LR) They say ""Note that small fish and invertebrates were prepared as pooled whole-body homogenates, while muscle tissues were processed for larger fish (>100 mm). Therefore, a correction factor was determined and used to convert PFAS muscle concentrations into whole-body (w-b) concentrations."" --- So yes, agree with Multiple",,LR,
P_0069,Yes,,Multiple,2012,2012,,Multiple,,Estuarine,,Mixed,,Juvenile/adult,,Yes,,Subtropical,,One,,We suggest that the size/age dependence of the PFAS concentration could be related to differing uptake kinetics of the chemicals as a response to an increased level of these substances in the environment after a major flood event,CV,
P_0201,Yes,,Multiple,2012,2012,,Multiple,,Estuarine,,Unknown,,Juvenile/adult,,Yes,"bioaccumulation factor for all PFAAs ranged from 2.0 to 2,8, there was no positive correlation between PFAA carbon chain length",Subtropical,,One,,,CV,
P_0244,Yes,,Multiple,2012,2013,,Multiple,,Estuarine,,Unknown,,Juvenile/adult,,Yes,Temporal variations,Temperate,,One,,,CV,
P_0059,Yes,,Multiple,2012,2015,,Multiple,,Estuarine,,Unknown,,Juvenile/adult,,No,,Tropical,,One,,,CV,
