Study_ID,Scientific_name,Lay_name,Species_higher_taxon,Name_tax_rank,Comment
P_0001,Alligator mississippiensis,American alligator,Reptilia,species,
P_0002,Larus fuscus,Lesser black-backed gull,Aves,species,
P_0003,Ardea herodias,Great blue heron,Aves,species,
P_0004,Orcinus orca,Killer whale,Mammalia,species,
P_0004,Pusa hispida,Ringed seal,Mammalia,species,
P_0004,Ursus maritimus,Polar bear,Mammalia,species,
P_0005,Phalacrocorax aristotelis,European shag,Aves,species,
P_0005,Somateria mollissima,Common eider,Aves,species,
P_0006,Uria aalge,Common guillemot,Aves,species,
P_0007,Diomedea epomophora,Royal albatross,Aves,species,
P_0007,Diomedea exulans,Wandering albatross,Aves,species,
P_0007,Diomedea immutabilis,Laysan albatross,Aves,species,
P_0007,Mirounga leonina,Elephant seal,Mammalia,species,
P_0007,Phoebetria palpebrata,Light-mantled sooty albatross,Aves,species,
P_0007,Pygoscelis adeliae,Adelie penguin,Aves,species,
P_0007,Catharacta maccormicki,South polar skua,Aves,species,
P_0007,Thalassarche cauta,Shy albatross,Aves,species,
P_0007,Thalassarche chlororhynchos,Yellow-nosed albatross,Aves,species,
P_0007,Thalassarche chrysostoma,Gray-headed albatross,Aves,species,
P_0007,Thalassarche melanophrys,Black-browed albatross,Aves,species,
P_0008,Myotis leibii,Eastern small-footed myotis,Mammalia,species,
P_0008,Myotis lucifugus,Little brown bat,Mammalia,species,
P_0008,Myotis septentrionalis,Northern long eared bat,Mammalia,species,
P_0008,Perimyotis subflavus,Tricolored bat,Mammalia,species,
P_0009,Boreogadus saida,Polar cod,Actinopterygii,species,
P_0009,Delphinapterus leucas,Beluga whale,Mammalia,species,
P_0009,Mallotus villosus,Capelin,Actinopterygii,species,
P_0009,Myoxocephalus scorpioides,Arctic sculpin,Actinopterygii,species,
P_0009,Mytilus edulis,Blue mussel,Bivalvia,species,
P_0009,Pusa hispida,Ringed seal,Mammalia,species,
P_0009,Somateria mollissima,Common eider,Aves,species,
P_0010,Brachythemis leucosticta,Banded groundling,Insecta,species,
P_0010,Crocothemis erythraea,Scarlet dragonfly,Insecta,species,
P_0010,Diplacodes lefebvrii,Black percher,Insecta,species,
P_0010,Orthetrum caffrum,Two-striped skimmer,Insecta,species,
P_0010,Sympetrum infuscatum,Skimmer dragonfly,Insecta,species,
P_0010,Trithemis annulata,Violet dropwing,Insecta,species,
