Study_ID,Scientific_name,Lay_name,Species_higher_taxon,Name_tax_rank,Comment,redlistCategory,systems,realm,Economically_relevant,Charismatic_species,Weight,Dietary_class
P_0001,Alligator mississippiensis,American alligator,Reptilia,species,,Least Concern,Terrestrial|Freshwater (=Inland waters),Nearctic,Yes,No,NA,NA
P_0002,Larus fuscus,Lesser black-backed gull,Aves,species,,Least Concern,Terrestrial|Freshwater (=Inland waters)|Marine,Afrotropical|Nearctic|Neotropical|Palearctic,No,No,762.36,Carnivore/Piscivore
P_0003,Ardea herodias,Great blue heron,Aves,species,,Least Concern,Terrestrial|Freshwater (=Inland waters)|Marine,Afrotropical|Nearctic|Neotropical,No,No,2523.41,Carnivore/Piscivore
P_0004,Orcinus orca,Killer whale,Mammalia,species,,Data Deficient,Marine,Afrotropical|Antarctic|Australasian|Indomalayan|Nearctic|Neotropical|Oceanian|Palearctic,Yes,Yes,4300000,Carnivore/Piscivore
P_0004,Pusa hispida,Ringed seal,Mammalia,species,,Least Concern,Terrestrial|Freshwater (=Inland waters)|Marine,Nearctic|Palearctic,Yes,No,70963.6,Carnivore/Piscivore
P_0004,Ursus maritimus,Polar bear,Mammalia,species,,Vulnerable,Terrestrial|Marine,Nearctic|Palearctic,Yes,Yes,388750.36,Carnivore/Piscivore
P_0005,Phalacrocorax aristotelis,European shag,Aves,species,,No IUCN assessment,NA,NA,No,No,1764.34,Carnivore/Piscivore
P_0005,Somateria mollissima,Common eider,Aves,species,,Near Threatened,Terrestrial|Marine,Nearctic|Palearctic,No,No,2060.93,Carnivore/Piscivore
P_0006,Uria aalge,Common guillemot,Aves,species,,Least Concern,Terrestrial|Marine,Nearctic|Palearctic,No,No,991.93,Carnivore/Piscivore
P_0007,Diomedea epomophora,Royal albatross,Aves,species,,Vulnerable,Terrestrial|Marine,Afrotropical|Neotropical|Oceanian,No,No,8905.61,Carnivore/Piscivore
P_0007,Diomedea exulans,Wandering albatross,Aves,species,,Vulnerable,Terrestrial|Marine,Afrotropical|Neotropical|Oceanian,No,No,6961.29,Carnivore/Piscivore
P_0007,Diomedea immutabilis,Laysan albatross,Aves,species,,No IUCN assessment,NA,NA,No,No,3145.93,Carnivore/Piscivore
P_0007,Mirounga leonina,Elephant seal,Mammalia,species,,Least Concern,Terrestrial|Marine,Afrotropical|Antarctic|Australasian|Neotropical,Yes,No,1600000,Carnivore/Piscivore
P_0007,Phoebetria palpebrata,Light-mantled sooty albatross,Aves,species,,Near Threatened,Terrestrial|Marine,Afrotropical|Antarctic|Neotropical|Oceanian,No,No,3150,Carnivore/Piscivore
P_0007,Pygoscelis adeliae,Adelie penguin,Aves,species,,Least Concern,Terrestrial|Marine,Afrotropical|Antarctic|Neotropical|Oceanian,No,No,4847.67,Carnivore/Piscivore
P_0007,Catharacta maccormicki,South polar skua,Aves,species,used name: Stercorarius maccormicki,Least Concern,Terrestrial|Marine,Afrotropical|Antarctic|Indomalayan|Nearctic|Neotropical|Oceanian|Palearctic,No,No,1347.07,Carnivore/Piscivore
P_0007,Thalassarche cauta,Shy albatross,Aves,species,,Near Threatened,Terrestrial|Marine,Oceanian,No,No,3897.7,Carnivore/Piscivore
P_0007,Thalassarche chlororhynchos,Yellow-nosed albatross,Aves,species,,Endangered,Terrestrial|Marine,Afrotropical|Neotropical,No,No,2128.84,Omnivore
P_0007,Thalassarche chrysostoma,Gray-headed albatross,Aves,species,,Endangered,Terrestrial|Marine,Afrotropical|Antarctic|Neotropical|Oceanian,No,No,3499.03,Carnivore/Piscivore
P_0007,Thalassarche melanophrys,Black-browed albatross,Aves,species,,No IUCN assessment,NA,NA,No,No,3202.94,Omnivore
P_0008,Myotis leibii,Eastern small-footed myotis,Mammalia,species,,Endangered,Terrestrial,Nearctic,No,No,5.13,Carnivore/Piscivore
